#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_05897	NA	-4.74127	1	-4.84929	83.1057	2.62698	d
FVEG_05900	NA	-6.08315	1	-6.27549	78.686	0.923422	d
FVEG_05904	NA	-4.29731	1	-4.54826	13.2536	0.5146	d
FVEG_05926	NA	-4.01199	1	-4.09176	30.9931	1.65698	d
FVEG_05931	NA	-4.99563	1	-5.30807	12.191	0.278578	d
FVEG_05939	NA	5.86705	1	6.39549	0.392176	31.0155	u
FVEG_05945	NA	6.24962	1	7.75999	0.200253	52.7643	u
FVEG_05957	NA	-6.60403	1	-6.8741	35.7508	0.276128	d
FVEG_05978	NA	-5.40109	1	-5.97234	7.27462	0.102618	d
FVEG_05985	NA	-6.10175	1	-6.18769	431.048	5.38918	d
FVEG_06174	NA	-4.05196	1	-4.14769	73.1404	3.76106	d
FVEG_06202	NA	4.39374	1	4.50495	4.01276	83.1733	u
FVEG_06203	NA	5.40695	1	5.51429	4.56674	190.527	u
FVEG_06208	NA	-4.02805	1	-5.79492	1.0961	0.0123889	d
FVEG_06444	NA	-5.25673	1	-5.48737	23.6968	0.479766	d
FVEG_06445	NA	-5.81299	1	-5.91663	217.278	3.27721	d
FVEG_06495	NA	-4.37868	1	-4.7446	12.7867	0.431153	d
FVEG_06510	NA	-4.46954	1	-4.7934	6.68803	0.218419	d
FVEG_06512	NA	-5.41409	1	-5.9485	7.87336	0.113371	d
FVEG_06538	NA	-6.35127	1	-6.40561	1833.27	19.7139	d
FVEG_06547	NA	-6.24011	1	-6.67187	21.9888	0.193316	d
FVEG_06550	NA	-4.62253	1	-5.29476	2.10413	0.0471022	d
FVEG_06554	NA	-6.06634	1	-7.13962	18.7724	0.110733	d
FVEG_06583	NA	-5.35301	1	-5.49668	71.3908	1.43963	d
FVEG_06584	NA	-5.09929	1	-5.22547	63.7143	1.55119	d
FVEG_06587	NA	-5.8873	1	-5.99954	120.386	1.71411	d
FVEG_06588	NA	-6.33644	1	-6.44579	186.649	1.95055	d
FVEG_06601	NA	4.22287	1	5.95997	0.0295138	3.34537	u
FVEG_06603	NA	5.08357	1	6.38357	0.225548	20.0271	u
FVEG_06612	NA	5.17723	1	7.91129	0	2.76785	u
FVEG_06613	NA	5.62754	1	6.27166	0.686974	50.697	u
FVEG_06637	NA	-4.0373	1	-4.22915	25.1398	1.22	d
FVEG_06704	NA	-4.88405	1	-5.07699	31.4292	0.846904	d
FVEG_06738	NA	6.18981	1	6.60233	3.66769	330.643	u
FVEG_06739	NA	7.13348	1	7.42825	2.78552	441.219	u
FVEG_06742	NA	-4.84	1	-4.8723	1647.31	51.2822	d
FVEG_06769	NA	-4.92949	1	-5.01442	59.4657	1.67687	d
FVEG_06777	NA	-6.33679	1	-6.47793	154.218	1.57508	d
FVEG_06778	NA	-4.84039	1	-5.00421	55.4234	1.57192	d
FVEG_06779	NA	-4.68744	1	-4.7611	61.3237	2.06148	d
FVEG_06801	NA	-4.1134	1	-4.86531	1.65167	0.0495299	d
FVEG_06802	NA	7.75515	1	8.62396	0.674868	263.006	u
FVEG_06824	NA	-5.50752	1	-5.67553	29.3433	0.522404	d
FVEG_06865	NA	-4.42496	1	-4.67266	9.7078	0.345771	d
FVEG_06882	NA	5.1176	1	5.32977	3.55346	130.871	u
FVEG_06900	NA	4.21575	1	4.6475	0.763678	17.7864	u
FVEG_06901	NA	6.74501	1	6.9671	2.14676	246.07	u
FVEG_06902	NA	5.35568	1	6.10394	0.159191	10.648	u
FVEG_06994	NA	-4.471	1	-7.33408	1.68717	0	d
FVEG_07169	NA	-5.36493	1	-5.5512	64.8252	1.25739	d
FVEG_07171	NA	-6.01066	1	-6.083	720.485	9.68748	d
FVEG_07172	NA	-5.00092	1	-5.11572	156.444	4.11074	d
FVEG_07191	NA	-4.38929	1	-4.48734	49.2378	2.00064	d
FVEG_07192	NA	-4.83614	1	-4.95054	78.346	2.30843	d
FVEG_07201	NA	5.66864	1	5.79349	18.0111	912.234	u
FVEG_07211	NA	-5.88693	1	-6.29893	15.5952	0.177935	d
FVEG_07235	NA	4.95488	1	6.56654	0.0439529	5.69429	u
FVEG_07244	NA	4.50435	1	7.24034	0	2.9985	u
FVEG_07246	NA	4.15253	1	4.50043	1.25419	26.1948	u
FVEG_07249	NA	5.62754	1	8.36074	0	6.8143	u
FVEG_07257	NA	4.63192	1	4.89143	2.30431	62.7668	u
FVEG_07261	NA	-4.5775	1	-4.6381	245.976	9.00578	d
FVEG_07262	NA	4.36512	1	4.45298	6.92929	138.484	u
FVEG_07382	NA	-4.37084	1	-4.44335	155.577	6.51879	d
FVEG_07419	NA	4.41464	1	4.73469	0.958986	23.5158	u
FVEG_07431	NA	5.54599	1	5.70218	12.0101	571.459	u
FVEG_07439	NA	-5.51767	1	-6.17825	4.38156	0.0529388	d
FVEG_07460	NA	-5.70629	1	-5.94446	33.9001	0.499684	d
FVEG_07491	NA	-4.45886	1	-4.52778	117.29	4.63529	d
FVEG_07505	NA	-4.09336	1	-4.73135	16.9343	0.565095	d
FVEG_07529	NA	-4.59184	1	-5.37988	1.86142	0.0386496	d
FVEG_07534	NA	4.39619	1	4.82397	1.04667	27.5397	u
FVEG_07572	NA	-4.95747	1	-5.32133	33.0211	0.745627	d
FVEG_07575	NA	-4.18748	1	-4.57849	4.4861	0.169595	d
FVEG_07580	NA	4.48264	1	4.67651	3.70878	86.7861	u
FVEG_07593	NA	-5.98235	1	-6.19242	44.8594	0.55733	d
FVEG_07616	NA	-5.42324	1	-5.81067	2.4632	0.0395255	d
FVEG_07622	NA	7.28326	1	7.81849	0.161219	34.2215	u
FVEG_07624	NA	5.05317	1	7.78754	0	4.5642	u
FVEG_07626	NA	4.99805	1	7.73256	0	9.81502	u
FVEG_07650	NA	-4.87885	1	-5.46203	3.25749	0.0655232	d
FVEG_07652	NA	6.83129	1	7.77515	0.233595	50.8983	u
